2024-12-03 15:13:53.378 [Information] AguilaContentManagement was signaled to launch in "create-content" mode.
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Fireworx-Y-1C100127' contains invalid characters and has been automatically converted to 'DH28_Fireworx_Y_1C100127'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Flipper-1C100137' contains invalid characters and has been automatically converted to 'DH28_Flipper_1C100137'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Frenzy-Y-1C10014C' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C10014C'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Frenzy-Y-1C100149' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C100149'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Frenzy-Y-1C10014A' contains invalid characters and has been automatically converted to 'DH28_Frenzy_Y_1C10014A'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Frenzy-X-1C10014B' contains invalid characters and has been automatically converted to 'DH28_Frenzy_X_1C10014B'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-FRM-CMultDY-1C100188' contains invalid characters and has been automatically converted to 'DH28_FRM_CMultDY_1C100188'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-FRM-SqrtDY-1C100189' contains invalid characters and has been automatically converted to 'DH28_FRM_SqrtDY_1C100189'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-FRM-MMulSDY-1C10018A' contains invalid characters and has been automatically converted to 'DH28_FRM_MMulSDY_1C10018A'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-FRM-Tran4DY-1C100187' contains invalid characters and has been automatically converted to 'DH28_FRM_Tran4DY_1C100187'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Fuso-1C1001C1' contains invalid characters and has been automatically converted to 'DH28_Fuso_1C1001C1'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Kawachi-1C1001D1' contains invalid characters and has been automatically converted to 'DH28_Kawachi_1C1001D1'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-LeekSpin-Y-1C1001E4' contains invalid characters and has been automatically converted to 'DH28_LeekSpin_Y_1C1001E4'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-LeekSpin-X-1C1001E3' contains invalid characters and has been automatically converted to 'DH28_LeekSpin_X_1C1001E3'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Millet-CG-1C100200' contains invalid characters and has been automatically converted to 'DH28_Millet_CG_1C100200'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Oakley-LegX-1C10020F' contains invalid characters and has been automatically converted to 'DH28_Oakley_LegX_1C10020F'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-PlusOne-Mhs-1C10022D' contains invalid characters and has been automatically converted to 'DH28_PlusOne_Mhs_1C10022D'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Satsuma-Y-1C100247' contains invalid characters and has been automatically converted to 'DH28_Satsuma_Y_1C100247'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Scylla-SBMG-1C10025C' contains invalid characters and has been automatically converted to 'DH28_Scylla_SBMG_1C10025C'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Scylla-BFX-1C100259' contains invalid characters and has been automatically converted to 'DH28_Scylla_BFX_1C100259'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Scylla-BFY-1C10025A' contains invalid characters and has been automatically converted to 'DH28_Scylla_BFY_1C10025A'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Scylla-SBFY-1C10025B' contains invalid characters and has been automatically converted to 'DH28_Scylla_SBFY_1C10025B'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Skipper-Y-1C100292' contains invalid characters and has been automatically converted to 'DH28_Skipper_Y_1C100292'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Twiddle-3Y-1C1002A1' contains invalid characters and has been automatically converted to 'DH28_Twiddle_3Y_1C1002A1'
2024-12-03 15:14:10.836 [Warning] Content seed Name 'DH28-Yakko-PsY-1C1002B2' contains invalid characters and has been automatically converted to 'DH28_Yakko_PsY_1C1002B2'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Yakko-MdY-1C1002B1' contains invalid characters and has been automatically converted to 'DH28_Yakko_MdY_1C1002B1'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Aes-DY-1C100002' contains invalid characters and has been automatically converted to 'DH28_Aes_DY_1C100002'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-Y1J-1C10002E' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C10002E'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-A1J-1C10002F' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10002F'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100030' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100030'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-X1J-1C100031' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C100031'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-A1J-1C100032' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100032'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-X1J-1C100033' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C100033'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100034' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100034'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-A1J-1C100035' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100035'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-Y1J-1C100036' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C100036'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-X1J-1C100037' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C100037'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-A1J-1C100038' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C100038'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-X1J-1C100039' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C100039'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-A1J-1C10003A' contains invalid characters and has been automatically converted to 'DH28_Blender_A1J_1C10003A'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-Y1J-1C10003B' contains invalid characters and has been automatically converted to 'DH28_Blender_Y1J_1C10003B'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Blender-X1J-1C10003C' contains invalid characters and has been automatically converted to 'DH28_Blender_X1J_1C10003C'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Ditto-SCCG-1C1000FA' contains invalid characters and has been automatically converted to 'DH28_Ditto_SCCG_1C1000FA'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-Ditto-OZCG-1C1000F9' contains invalid characters and has been automatically converted to 'DH28_Ditto_OZCG_1C1000F9'
2024-12-03 15:14:10.837 [Warning] Content seed Name 'DH28-DittoMT-CG-1C100116' contains invalid characters and has been automatically converted to 'DH28_DittoMT_CG_1C100116'
